test,estimate,t_stat
Newey-West,0.0034124228214139716,3.534155013089226
CAPM-alpha,0.00402043102163884,3.9446611225728594
Newey-West,0.00341862855577365,3.4545777439014245
CAPM-alpha,0.00406530945176922,3.881420511137116
Newey-West,0.005667192438618992,3.843961541724184
CAPM-alpha,0.006193532131182897,4.56752765381217
Newey-West,0.002205644716431003,1.779149377876547
CAPM-alpha,0.002742962858100673,1.9495596613217174
Newey-West,0.0032076157100403213,3.3328722056737536
CAPM-alpha,0.0038330363753331163,3.773904156297082
Newey-West,0.0032525625336209075,3.3107497317522596
CAPM-alpha,0.003929433804878896,3.7797824958507116
Newey-West,0.0052993513635415206,3.6180650091248987
CAPM-alpha,0.005852583380627207,4.385451413672597
Newey-West,0.0020880952194340463,1.685085946532499
CAPM-alpha,0.002627822389357201,1.8659297712475789
Newey-West,0.0031147554300657476,3.2914401094679144
CAPM-alpha,0.003739661709366928,3.7443082854376284
Newey-West,0.0031128652776896072,3.2862928705775207
CAPM-alpha,0.003742884564942775,3.7462599233605838
Newey-West,0.0045781534646936965,3.2665918097072146
CAPM-alpha,0.00518773427515304,4.1856559382166205
Newey-West,0.002331528312940931,1.8826240120365856
CAPM-alpha,0.002804962720977906,1.9910864748228363
Newey-West,0.0030078513858624125,3.1679716945646064
CAPM-alpha,0.003622170797455722,3.6093034480983333
Newey-West,0.0029749434363166775,3.134043896176557
CAPM-alpha,0.0035969212747342942,3.5839784275417435
Newey-West,0.004349812416183288,3.085178330485174
CAPM-alpha,0.004970341440541726,4.002686893886656
Newey-West,0.0022896187217470144,1.842651451282231
CAPM-alpha,0.0027293445809132883,1.9290399680222814
Newey-West,0.003325300174372287,3.3996418432851225
CAPM-alpha,0.003960196910168184,3.8437468273111723
Newey-West,0.003348295603305508,3.3536719417692544
CAPM-alpha,0.0040089915656547105,3.8023345711986325
Newey-West,0.0055417960805399435,3.7501458756799417
CAPM-alpha,0.006098328126375564,4.5107474883834815
Newey-West,0.0021390065907895967,1.6947340649709832
CAPM-alpha,0.002692528336218272,1.887953683413951
Newey-West,0.0032187971496533373,3.330379097747367
CAPM-alpha,0.0038636858612565335,3.781431748395079
Newey-West,0.0032442114427120687,3.302149610277219
CAPM-alpha,0.003918084738016418,3.7618081683752993
Newey-West,0.0054108353637634336,3.6744347446483365
CAPM-alpha,0.006001822715868493,4.511807115351566
Newey-West,0.002045593598439482,1.6462312949202746
CAPM-alpha,0.002576374738566355,1.8197874838367893
Newey-West,0.0030210927520315164,3.17991630278515
CAPM-alpha,0.003659938506830629,3.653536800958349
Newey-West,0.0030150252744262293,3.1732671474312806
CAPM-alpha,0.0036563886946488554,3.6461297570238935
Newey-West,0.004521513852611078,3.20872115299903
CAPM-alpha,0.005149469818896851,4.158610605117923
Newey-West,0.0022180504728480884,1.7852036084727618
CAPM-alpha,0.002696083589424549,1.9093004982887047
Newey-West,0.002990447780737616,3.1454674585563906
CAPM-alpha,0.0036103389221866663,3.591239346447207
Newey-West,0.0029584685764990444,3.1147029933182373
CAPM-alpha,0.003583920725150823,3.567500031091116
Newey-West,0.004345946502657421,3.0903302730735422
CAPM-alpha,0.004970935201234107,4.021665609485921
Newey-West,0.0022649695915411007,1.8179429158081286
CAPM-alpha,0.0027101235993869568,1.9092657247599865
Newey-West,0.005511914063324706,3.2072433604185013
CAPM-alpha,0.006550025596612757,3.5845901084337393
Newey-West,0.005583161901126842,3.2102158185309606
CAPM-alpha,0.006652090813628473,3.5905955267230847
Newey-West,0.009216831495099729,3.67699984448741
CAPM-alpha,0.010219610937610148,4.515289325523242
Newey-West,0.0035290005082901873,1.5689835286859073
CAPM-alpha,0.0043182811836462755,1.6828758092799738
Newey-West,0.005447896924868114,3.2016851341532964
CAPM-alpha,0.006474403424254221,3.5733134252107326
Newey-West,0.005450624160395905,3.1846101697843854
CAPM-alpha,0.006514951198950459,3.5722572303862057
Newey-West,0.008789327935959072,3.518520187082155
CAPM-alpha,0.009803133661610987,4.350230957481174
Newey-West,0.0036595253978053454,1.644087073663309
CAPM-alpha,0.004414775454684091,1.7357171943604481
Newey-West,0.005334719175601323,3.207527407904581
CAPM-alpha,0.00648772953569776,3.7174028811307935
Newey-West,0.005310946170494204,3.1847945939818287
CAPM-alpha,0.0064771598296074675,3.6955941593858497
Newey-West,0.007855643956357098,3.2003209363244958
CAPM-alpha,0.00897222819860028,4.1789287620707976
Newey-West,0.003985491828154572,1.82804232028711
CAPM-alpha,0.004870466445024072,1.9763543459216102
